"";"OTU";"Sample";"Abundance";"names";"host_species";"gut_section";"region";"location";"year";"month";"day";"sample_lab";"Time";"SL..mm.";"FL..mm.";"TW..g.";"GW..g.";"Sex";"Sample_or_Control";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim";"perc_reads_retained";"Kingdom";"Phylum";"Class";"Order"
"37";"ASV_14";"E1_4";0,0623511279248984;"E1_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S140";"09:40";NA;NA;NA;1262;"M";"Sample";84311;45242;45120;45137;44201;43946;52,1236849284198;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Enterobacterales"
"38";"ASV_28";"E2_5";0,0587902769926512;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Bacillota";"Clostridia";"Clostridia vadinBB60 group"
"39";"ASV_16";"E3_4";0,056706804816578;"E3_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S144";"15:45";NA;NA;NA;308;"M";"Sample";38381;7645;7366;7375;7155;7142;18,608165498554;"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales"
"40";"ASV_35";"568_5";0,0555320050869012;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"41";"ASV_28";"568_5";0,0535537657199378;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Bacillota";"Clostridia";"Clostridia vadinBB60 group"
"42";"ASV_12";"568_5";0,0514342235410485;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"43";"ASV_1";"E2_4";0,0492977528089888;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"44";"ASV_35";"E3_5";0,0481351161154117;"E3_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S145";"15:45";NA;NA;NA;308;"M";"Sample";53784;24444;23915;23878;22883;22812;42,4141008478358;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"45";"ASV_12";"E2_4";0,0474719101123596;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"46";"ASV_35";"E05_5";0,0443757899171465;"E05_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Granite Bluffs";2005;3;22;"S147";"09:00";NA;NA;NA;656;"";"Sample";107092;47810;47106;47221;45847;45378;42,3729130093751;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"47";"ASV_35";"611_5";0,0430547713156409;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"48";"ASV_9";"E1_4";0,04175423847555;"E1_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S140";"09:40";NA;NA;NA;1262;"M";"Sample";84311;45242;45120;45137;44201;43946;52,1236849284198;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"49";"ASV_28";"611_5";0,0412196499153021;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Bacillota";"Clostridia";"Clostridia vadinBB60 group"
"50";"ASV_1";"E05_5";0,0398820390394607;"E05_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Granite Bluffs";2005;3;22;"S147";"09:00";NA;NA;NA;656;"";"Sample";107092;47810;47106;47221;45847;45378;42,3729130093751;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"51";"ASV_1";"E1_5";0,0398142937535172;"E1_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S141";"09:40";NA;NA;NA;1262;"M";"Sample";60904;28698;28310;28291;27674;27425;45,0298830947064;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"52";"ASV_35";"E2_4";0,0393258426966292;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"53";"ASV_35";"581_5";0,0371163454675232;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"54";"ASV_23";"E3_5";0,0370161857846587;"E3_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S145";"15:45";NA;NA;NA;308;"M";"Sample";53784;24444;23915;23878;22883;22812;42,4141008478358;"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales"
"55";"ASV_35";"E2_5";0,036743923120407;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"56";"ASV_28";"E3_5";0,0351864883884588;"E3_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S145";"15:45";NA;NA;NA;308;"M";"Sample";53784;24444;23915;23878;22883;22812;42,4141008478358;"Bacteria";"Bacillota";"Clostridia";"Clostridia vadinBB60 group"
"57";"ASV_28";"581_5";0,0349750178443969;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Bacillota";"Clostridia";"Clostridia vadinBB60 group"
"58";"ASV_1";"568_5";0,0349017945457115;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"59";"ASV_23";"E05_5";0,0330009830080045;"E05_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Granite Bluffs";2005;3;22;"S147";"09:00";NA;NA;NA;656;"";"Sample";107092;47810;47106;47221;45847;45378;42,3729130093751;"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales"
"60";"ASV_17";"E05_5";0,0325796938632215;"E05_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Granite Bluffs";2005;3;22;"S147";"09:00";NA;NA;NA;656;"";"Sample";107092;47810;47106;47221;45847;45378;42,3729130093751;"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"P.palmC41"
"61";"ASV_26";"E2_5";0,032504239683437;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Verrucomicrobiota";"Kiritimatiellae";"WCHB1-41"
"62";"ASV_23";"568_5";0,0323583439310442;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales"
"63";"ASV_35";"E3_4";0,0310837300476057;"E3_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S144";"15:45";NA;NA;NA;308;"M";"Sample";38381;7645;7366;7375;7155;7142;18,608165498554;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"64";"ASV_17";"E2_5";0,0288298473713963;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"P.palmC41"
"65";"ASV_14";"568_4";0,0284194316113678;"568_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"South Island South";2014;12;12;"S246";"15:30";236;285;654,3;52,5;"M";"Sample";52502;25983;25713;25724;24787;24522;46,7067921222049;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Enterobacterales"
"66";"ASV_17";"581_5";0,0278372591006424;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Verrucomicrobiota";"Lentisphaeria";"P.palmC41"
"67";"ASV_2";"568_5";0,02656492864208;"568_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between Bird Islet and South Island";2014;12;12;"S346";"15:30";236;285;654,3;52,5;"M";"Sample";38610;18739;18165;18254;17389;17305;44,8199948199948;"Bacteria";"Bacillota";"Clostridia";"Peptostreptococcales-Tissierellales"
"68";"ASV_171";"581_5";0,025553176302641;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Cyanobacteria";"Vampirivibrionia";"Gastranaerophilales"
"69";"ASV_11";"E2_4";0,0252808988764045;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacillota";"Clostridia";"Clostridiales"
