"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_663",0,11,8,0,0,0,0,0,0,0,0
"ASV_1458",0,0,0,0,0,0,2,0,0,0,0
"ASV_246",0,13,0,13,18,0,0,0,0,0,0
"ASV_868",0,4,0,0,0,0,0,0,0,0,2
"ASV_921",0,0,10,0,0,0,0,0,0,0,0
"ASV_960",0,0,9,0,0,0,0,0,0,0,0
"ASV_1508",0,0,0,3,0,0,0,0,0,0,0
"ASV_1191",0,2,0,0,0,0,0,0,0,0,2
"ASV_807",0,0,0,0,0,0,5,0,2,0,0
"ASV_1245",0,2,2,0,0,0,0,0,0,0,0
"ASV_1706",0,0,0,1,0,0,0,0,0,0,0
"ASV_722",0,0,0,0,5,0,0,0,0,0,1
"ASV_1196",0,0,3,0,0,0,0,0,0,0,2
"ASV_1258",0,0,0,0,2,0,0,0,0,0,0
"ASV_1017",0,0,0,0,0,0,0,0,4,0,0
"ASV_1744",0,0,0,0,0,0,0,0,0,2,0
"ASV_474",0,0,0,29,0,0,0,0,0,0,6
"ASV_836",0,0,5,0,0,0,0,0,0,0,0
"ASV_1212",0,0,0,0,0,0,0,0,2,0,0
"ASV_1540",0,0,0,0,0,0,0,0,1,0,0
"ASV_1457",0,0,0,0,0,0,2,0,0,0,0
"ASV_245",0,0,0,0,0,0,0,1,32,0,0
"ASV_340",0,43,0,0,0,0,0,0,0,0,0
"ASV_209",0,7,8,26,9,0,13,0,0,0,0
"ASV_883",0,0,0,0,0,0,0,0,0,0,8
"ASV_1072",0,4,0,0,0,0,0,0,0,0,2
"ASV_742",0,0,9,4,1,0,0,0,0,0,0
"ASV_163",0,3,0,0,0,0,3,5,39,0,0
"ASV_354",0,4,3,10,7,0,0,0,0,0,8
"ASV_1040",0,0,0,0,0,0,0,0,0,0,6
"ASV_1292",0,0,0,5,0,0,0,0,0,0,0
"ASV_1088",0,0,0,0,0,0,0,0,3,0,0
"ASV_1051",0,0,0,2,0,0,1,0,0,0,3
"ASV_800",0,0,0,0,0,0,0,0,0,0,10
"ASV_1226",0,0,0,6,0,0,0,0,0,0,0
"ASV_1279",0,4,0,0,0,0,0,0,0,0,0
"ASV_491",0,0,0,0,0,0,8,0,8,0,0
"ASV_28",0,34,0,12,0,0,0,9,155,15,59
"ASV_336",0,0,7,0,5,0,0,0,0,0,0
"ASV_344",0,0,21,0,1,0,0,1,6,0,3
"ASV_216",0,1,0,0,0,0,38,0,4,0,2
