	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
74	ASV_1	581_5	0.023411849	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
92	ASV_9	581_5	0.017416131	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacillota	Clostridia	Lachnospirales
115	ASV_2	581_5	0.011563169	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
10	ASV_16	611_5	0.324251835	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
14	ASV_4	611_5	0.287125918	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
28	ASV_9	611_5	0.080039526	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Bacillota	Clostridia	Lachnospirales
35	ASV_12	611_5	0.064935065	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
47	ASV_35	611_5	0.043054771	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Bacillota	Clostridia	Oscillospirales
49	ASV_28	611_5	0.04121965	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
71	ASV_23	611_5	0.023997741	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales
77	ASV_14	611_5	0.02216262	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
93	ASV_17	611_5	0.017363072	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
96	ASV_26	611_5	0.016657256	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41
105	ASV_27	611_5	0.013975155	611_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between South Island and Palfrey Island	2014	12	18	S248	09:45	210	256	493	391.5	M	Sample	30511	15091	14673	14708	13943	13898	45.55078496	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales
